Time	Flow, kg/s	DeltaP, Pa	P, Pa	Temp, K	Temp2, K
1741861224	2.631710	27.71	23.89	300.860	297.040

1741861225	2.274788	27.12	25.71	300.270	298.860

1741861226	1.000000	28.60	27.96	301.750	301.110

1741861227	2.687450	22.18	25.65	295.330	298.800

1741861228	2.709857	26.47	21.13	299.620	294.280

1741861229	1.666541	26.47	26.96	299.620	300.110

1741861230	0.922465	22.18	26.33	295.330	299.480

1741861231	1.000000	25.78	28.32	298.930	301.470

1741861232	1.000000	29.62	26.55	302.770	299.700

1741861233	1.000000	23.25	23.03	296.400	296.180

1741861234	0.200554	23.19	21.35	296.340	294.500

1741861235	1.000000	26.42	21.31	299.570	294.460

1741861236	1.856981	24.81	30.00	297.960	303.150

1741861237	1.000000	24.47	21.73	297.620	294.880

1741861238	1.000000	28.57	26.69	301.720	299.840

1741861239	1.728606	24.97	25.43	298.120	298.580

1741861240	1.522571	26.29	20.47	299.440	293.620

1741861241	2.328380	29.91	26.00	303.060	299.150

1741861242	2.339839	26.60	24.19	299.750	297.340

1741861243	1.000000	27.65	21.90	300.800	295.050

1741861244	1.000000	28.51	22.92	301.660	296.070

1741861245	1.000000	29.34	29.36	302.490	302.510

1741861246	1.000000	22.64	22.72	295.790	295.870

1741861247	1.000000	26.00	25.44	299.150	298.590

1741861248	1.000000	27.79	24.62	300.940	297.770

1741861249	2.126866	23.55	25.74	296.700	298.890

1741861250	1.000000	25.08	23.25	298.230	296.400

1741861251	2.124111	20.48	24.10	293.630	297.250

1741861252	1.000000	25.52	27.62	298.670	300.770

1741861253	1.000000	20.38	24.48	293.530	297.630

1741861254	1.498528	23.02	28.38	296.170	301.530

1741861255	1.000000	21.57	22.16	294.720	295.310

1741861256	2.173814	23.15	25.37	296.300	298.520

1741861257	1.965893	21.73	23.03	294.880	296.180

1741861258	2.471361	25.08	23.97	298.230	297.120

1741861259	1.000000	24.40	29.73	297.550	302.880

1741861260	1.000000	20.07	21.64	293.220	294.790

1741861261	1.000000	27.63	29.96	300.780	303.110

1741861262	1.872100	23.03	29.73	296.180	302.880

1741861263	1.000000	21.87	26.29	295.020	299.440

1741861264	1.000000	27.02	20.57	300.170	293.720

1741861265	2.117014	26.45	25.34	299.600	298.490

1741861266	1.264301	21.41	25.06	294.560	298.210

1741861268	2.152479	23.66	27.42	296.810	300.570

1741861269	1.000000	28.50	20.02	301.650	293.170

1741861270	1.000000	26.42	25.33	299.570	298.480

1741861271	1.000000	24.64	20.89	297.790	294.040

1741861272	2.204591	21.81	21.85	294.960	295.000

1741861273	1.000000	25.49	27.86	298.640	301.010

1741861274	2.344028	22.78	22.24	295.930	295.390

1741861275	1.000000	20.35	29.17	293.500	302.320

1741861276	1.668423	23.42	21.13	296.570	294.280

1741861277	2.286640	25.41	23.84	298.560	296.990

1741861278	2.542381	20.27	28.60	293.420	301.750

1741861279	1.000000	27.72	23.90	300.870	297.050

1741861280	1.000000	25.13	25.14	298.280	298.290

1741861281	1.242803	23.50	20.24	296.650	293.390

1741861282	1.290786	23.26	20.58	296.410	293.730

1741861283	2.190884	29.52	28.91	302.670	302.060

1741861284	0.704310	22.09	24.52	295.240	297.670

1741861285	0.695525	20.71	29.50	293.860	302.650

1741861286	2.672245	23.19	22.56	296.340	295.710

1741861287	1.000000	29.41	22.67	302.560	295.820

1741861288	0.946042	25.25	21.35	298.400	294.500

1741861289	1.000000	24.31	20.62	297.460	293.770

1741861290	1.000000	28.26	23.13	301.410	296.280

1741861291	1.000000	26.12	25.62	299.270	298.770

1741861292	1.000000	24.97	27.34	298.120	300.490

1741861293	1.000000	28.21	20.07	301.360	293.220

1741861294	1.456116	27.07	22.62	300.220	295.770

1741861295	2.304227	22.59	22.95	295.740	296.100

1741861296	2.166306	22.38	22.29	295.530	295.440

1741861297	2.145537	29.33	23.58	302.480	296.730

1741861298	1.000000	21.56	20.13	294.710	293.280

1741861299	1.272748	27.03	28.78	300.180	301.930

1741861300	1.235091	25.79	25.09	298.940	298.240

1741861301	1.939523	23.03	28.05	296.180	301.200

1741861302	1.000000	29.63	20.60	302.780	293.750

1741861303	2.280466	20.84	29.17	293.990	302.320

1741861304	1.642281	29.68	29.59	302.830	302.740

1741861305	1.000000	27.65	25.24	300.800	298.390

1741861306	1.000000	29.31	28.42	302.460	301.570

1741861307	2.541119	20.49	29.28	293.640	302.430

1741861308	1.000000	28.61	24.40	301.760	297.550

1741861309	2.485899	26.68	25.52	299.830	298.670

1741861310	1.000000	27.74	24.49	300.890	297.640

1741861311	1.000000	24.45	27.68	297.600	300.830

1741861312	2.635737	28.26	20.03	301.410	293.180

1741861313	2.624711	26.71	29.27	299.860	302.420

1741861314	2.102691	21.05	27.11	294.200	300.260

1741861315	1.000000	29.88	24.50	303.030	297.650

1741861316	1.000000	25.81	28.28	298.960	301.430

1741861317	2.523876	26.60	22.79	299.750	295.940

1741861318	1.000000	28.08	20.29	301.230	293.440

1741861320	2.194066	26.65	25.57	299.800	298.720

1741861321	0.782582	27.10	22.67	300.250	295.820

1741861322	0.216467	26.27	27.99	299.420	301.140

1741861323	0.648863	22.97	27.54	296.120	300.690

1741861324	1.093966	25.93	23.79	299.080	296.940

1741861325	1.617362	23.23	21.40	296.380	294.550

1741861326	1.000000	20.77	20.67	293.920	293.820

1741861327	1.000000	23.74	29.93	296.890	303.080

1741861328	1.000000	21.79	25.80	294.940	298.950

1741861329	2.422198	20.21	26.95	293.360	300.100

1741861330	1.167007	26.75	23.24	299.900	296.390

1741861331	1.000000	21.12	25.13	294.270	298.280

1741861332	1.000000	23.56	23.44	296.710	296.590

1741861333	1.000000	20.99	20.40	294.140	293.550

1741861334	1.000000	26.44	25.06	299.590	298.210

1741861335	1.000000	29.92	21.04	303.070	294.190

1741861336	1.571664	27.12	23.23	300.270	296.380

1741861337	1.267719	20.95	24.15	294.100	297.300

1741861338	1.000000	21.26	20.94	294.410	294.090

1741861339	1.047589	22.87	25.26	296.020	298.410

1741861340	1.000000	24.32	21.62	297.470	294.770

1741861341	1.000000	29.48	25.73	302.630	298.880

1741861342	0.769101	25.74	20.18	298.890	293.330

1741861343	1.000000	24.28	22.06	297.430	295.210

1741861344	1.820200	28.79	22.82	301.940	295.970

1741861345	2.528062	25.37	27.32	298.520	300.470

1741861346	2.088952	20.17	26.69	293.320	299.840

1741861347	1.053785	20.86	23.54	294.010	296.690

1741861348	1.581988	22.64	24.69	295.790	297.840

1741861349	1.642600	21.42	26.30	294.570	299.450

1741861350	2.415051	27.49	21.29	300.640	294.440

1741861351	1.000000	21.52	21.74	294.670	294.890

1741861352	1.000000	26.49	20.21	299.640	293.360

1741861353	0.640034	20.47	27.96	293.620	301.110

1741861354	1.000000	29.36	21.02	302.510	294.170

1741861355	2.473693	25.46	21.94	298.610	295.090

1741861356	1.000000	27.27	27.12	300.420	300.270

1741861357	1.161565	28.40	22.24	301.550	295.390

1741861358	1.000000	27.96	28.36	301.110	301.510

1741861359	1.609182	25.55	24.75	298.700	297.900

1741861360	1.000000	25.85	25.56	299.000	298.710

1741861361	1.650145	27.23	29.46	300.380	302.610

1741861362	1.912101	27.66	23.48	300.810	296.630

1741861363	2.524609	26.31	27.51	299.460	300.660

1741861364	0.676543	23.50	20.04	296.650	293.190

1741861365	0.950725	28.00	22.19	301.150	295.340

1741861366	1.000000	24.69	27.40	297.840	300.550

1741861367	1.000000	20.44	28.94	293.590	302.090

1741861368	1.000000	26.21	28.58	299.360	301.730

1741861369	0.879267	29.88	25.91	303.030	299.060

1741861371	2.630690	22.91	22.87	296.060	296.020

1741861372	1.411846	22.28	21.87	295.430	295.020

1741861373	1.000000	25.95	28.10	299.100	301.250

1741861374	1.000000	22.17	21.25	295.320	294.400

1741861375	2.309711	25.66	27.85	298.810	301.000

1741861376	1.000000	22.79	24.84	295.940	297.990

1741861377	1.000000	26.79	23.91	299.940	297.060

1741861378	1.483912	26.73	27.94	299.880	301.090

1741861379	1.000000	22.27	24.34	295.420	297.490

1741861380	1.000000	23.53	25.44	296.680	298.590

1741861381	1.000000	29.10	20.12	302.250	293.270

1741861382	2.613676	21.69	23.43	294.840	296.580

1741861383	1.000000	29.10	29.44	302.250	302.590

1741861384	1.400825	20.39	23.17	293.540	296.320

1741861385	1.926259	22.52	26.23	295.670	299.380

1741861386	1.000000	29.95	24.43	303.100	297.580

1741861387	1.199576	29.21	26.24	302.360	299.390

1741861388	1.000000	29.95	28.66	303.100	301.810

1741861389	2.225178	29.51	26.11	302.660	299.260

1741861390	1.322925	26.33	27.08	299.480	300.230

1741861391	2.446931	25.37	20.62	298.520	293.770

1741861392	1.000000	24.45	24.81	297.600	297.960

1741861393	1.365659	27.00	20.22	300.150	293.370

1741861394	1.000000	27.67	25.72	300.820	298.870

1741861395	1.000000	28.71	29.63	301.860	302.780

1741861396	1.000000	22.54	21.88	295.690	295.030

1741861397	1.000000	20.30	29.99	293.450	303.140

1741861398	2.652680	29.75	27.82	302.900	300.970

1741861399	1.324796	20.65	28.31	293.800	301.460

1741861400	2.131820	25.49	27.81	298.640	300.960

1741861401	1.000000	21.87	20.28	295.020	293.430

1741861402	1.000000	28.68	25.29	301.830	298.440

1741861403	1.000000	24.37	29.25	297.520	302.400

1741861404	1.000000	21.46	20.60	294.610	293.750

1741861405	1.000000	26.44	25.90	299.590	299.050

1741861406	2.491820	23.62	26.64	296.770	299.790

1741861407	1.827992	28.20	22.92	301.350	296.070

1741861408	1.000000	27.45	29.49	300.600	302.640

1741861409	2.437618	26.95	29.38	300.100	302.530

1741861410	1.000000	28.90	23.93	302.050	297.080

1741861411	0.937909	26.21	22.34	299.360	295.490

1741861412	1.000000	27.84	28.05	300.990	301.200

1741861413	1.681884	28.15	27.71	301.300	300.860

1741861414	1.000000	28.17	22.15	301.320	295.300

1741861415	2.196727	23.10	27.64	296.250	300.790

1741861416	1.000000	21.40	23.97	294.550	297.120

1741861417	1.000000	22.01	25.74	295.160	298.890

1741861418	1.400538	29.62	27.48	302.770	300.630

1741861419	1.000000	21.27	24.13	294.420	297.280

1741861420	2.485814	21.96	23.89	295.110	297.040

1741861421	1.000000	29.68	29.76	302.830	302.910

1741861423	2.233530	25.04	27.78	298.190	300.930

1741861424	1.000000	23.49	29.42	296.640	302.570

1741861425	1.000000	20.93	21.25	294.080	294.400

1741861426	0.103780	20.02	23.56	293.170	296.710

1741861427	1.314193	20.16	22.83	293.310	295.980

1741861428	2.453664	26.49	22.37	299.640	295.520

1741861429	1.697742	25.58	22.68	298.730	295.830

1741861430	1.000000	26.39	22.78	299.540	295.930

1741861431	1.000000	23.65	25.43	296.800	298.580

1741861432	1.000000	23.16	20.80	296.310	293.950

1741861433	1.000000	25.92	24.59	299.070	297.740

1741861434	2.216842	22.77	28.18	295.920	301.330

1741861435	1.000000	29.03	21.77	302.180	294.920

1741861436	1.000000	21.87	27.49	295.020	300.640

1741861437	1.000000	23.19	20.64	296.340	293.790

1741861438	1.853979	29.36	21.72	302.510	294.870

1741861439	2.027723	22.24	27.51	295.390	300.660

1741861440	1.000000	27.39	23.23	300.540	296.380

1741861441	1.000000	20.59	20.89	293.740	294.040

1741861442	1.000000	21.99	25.80	295.140	298.950

1741861443	1.000000	24.92	28.44	298.070	301.590

1741861444	1.000000	27.43	22.03	300.580	295.180

1741861445	1.386865	25.23	23.14	298.380	296.290

1741861446	2.140828	27.03	24.32	300.180	297.470

1741861447	0.885070	27.04	26.13	300.190	299.280

1741861448	2.501859	27.50	29.93	300.650	303.080

1741861449	1.659177	22.41	26.39	295.560	299.540

1741861450	1.000000	24.20	22.11	297.350	295.260

1741861451	2.477252	24.86	20.92	298.010	294.070

1741861452	1.104522	28.98	22.60	302.130	295.750

1741861453	2.542864	23.57	23.99	296.720	297.140

1741861454	1.000000	21.48	26.82	294.630	299.970

1741861455	1.825442	23.93	29.99	297.080	303.140

1741861456	1.000000	24.18	28.87	297.330	302.020

1741861457	0.370162	22.78	27.10	295.930	300.250

1741861458	1.000000	26.57	26.19	299.720	299.340

1741861459	1.000000	25.70	20.54	298.850	293.690

1741861460	1.713910	20.20	24.08	293.350	297.230

1741861461	1.234012	29.34	29.15	302.490	302.300

1741861462	1.000000	28.59	27.45	301.740	300.600

1741861463	2.105983	29.31	20.47	302.460	293.620

1741861464	1.000000	27.70	26.22	300.850	299.370

1741861465	1.000000	26.46	26.21	299.610	299.360

1741861466	1.000000	24.31	24.32	297.460	297.470

1741861467	0.248266	29.79	27.59	302.940	300.740

1741861468	1.000000	23.77	22.61	296.920	295.760

1741861469	1.000000	24.71	20.98	297.860	294.130

1741861470	1.000000	22.01	24.56	295.160	297.710

1741861471	1.000000	24.87	27.77	298.020	300.920

1741861472	2.144836	20.72	20.61	293.870	293.760

1741861474	1.000000	21.98	26.48	295.130	299.630

1741861475	1.000000	22.61	20.85	295.760	294.000

1741861476	2.284251	24.27	23.51	297.420	296.660

1741861477	1.000000	27.31	22.92	300.460	296.070

1741861478	2.293901	20.04	24.92	293.190	298.070

1741861479	1.000000	23.46	21.50	296.610	294.650

1741861480	1.000000	28.13	26.84	301.280	299.990

1741861481	1.000000	29.49	20.55	302.640	293.700

1741861482	1.000000	21.98	22.01	295.130	295.160

1741861483	1.000000	22.66	20.90	295.810	294.050

1741861484	0.362609	26.84	28.16	299.990	301.310

1741861485	1.000000	23.99	26.77	297.140	299.920

1741861486	1.000000	28.21	21.36	301.360	294.510

1741861487	0.329255	28.32	21.37	301.470	294.520

1741861488	1.000000	27.22	27.63	300.370	300.780

1741861489	1.446846	29.30	28.85	302.450	302.000

1741861490	1.000000	24.57	22.47	297.720	295.620

1741861491	1.925195	22.79	28.44	295.940	301.590

1741861492	1.000000	29.09	28.94	302.240	302.090

1741861493	1.010683	22.23	27.45	295.380	300.600

1741861494	1.000000	27.12	20.16	300.270	293.310

1741861495	1.160981	21.66	20.52	294.810	293.670

1741861496	1.000000	28.55	22.95	301.700	296.100

1741861497	1.000000	28.50	22.97	301.650	296.120

1741861498	1.985362	24.86	29.64	298.010	302.790

1741861499	1.000000	20.38	27.84	293.530	300.990

1741861500	2.205957	25.57	20.12	298.720	293.270

1741861501	1.000000	20.86	28.69	294.010	301.840

1741861502	1.000000	24.41	22.00	297.560	295.150

1741861503	1.000000	21.83	21.93	294.980	295.080

1741861504	1.000000	22.17	29.04	295.320	302.190

1741861505	2.007553	25.91	29.41	299.060	302.560

1741861506	1.249023	25.28	22.15	298.430	295.300

1741861507	1.613854	25.68	22.98	298.830	296.130

1741861508	1.000000	25.58	22.92	298.730	296.070

1741861509	2.412196	22.60	20.95	295.750	294.100

1741861510	1.000000	28.63	20.57	301.780	293.720

1741861511	1.636496	24.13	25.82	297.280	298.970

1741861512	2.752958	22.12	27.86	295.270	301.010

1741861513	1.000000	21.47	26.01	294.620	299.160

1741861514	1.000000	28.63	27.86	301.780	301.010

1741861515	1.535517	28.58	27.89	301.730	301.040

1741861516	0.562168	22.53	26.39	295.680	299.540

1741861517	1.000000	24.75	20.19	297.900	293.340

1741861518	1.000000	21.56	25.88	294.710	299.030

1741861519	1.411405	28.20	28.57	301.350	301.720

1741861520	1.601852	29.63	21.05	302.780	294.200

1741861521	1.000000	21.79	22.40	294.940	295.550

1741861522	2.469311	23.96	25.61	297.110	298.760

1741861523	1.388458	20.98	29.94	294.130	303.090

1741861525	1.000000	28.30	27.10	301.450	300.250

1741861526	1.975898	29.92	29.33	303.070	302.480

1741861527	1.000000	23.20	27.37	296.350	300.520

1741861528	2.625758	28.29	27.26	301.440	300.410

1741861529	1.941927	22.49	28.21	295.640	301.360

1741861530	1.000000	25.61	21.97	298.760	295.120

1741861531	2.155386	22.32	22.90	295.470	296.050

1741861532	1.000000	26.01	20.94	299.160	294.090

1741861533	1.000000	23.41	25.74	296.560	298.890

1741861534	1.000000	28.09	26.98	301.240	300.130

1741861535	1.000000	24.46	27.23	297.610	300.380

1741861536	1.000000	28.88	29.78	302.030	302.930

1741861537	0.505062	23.91	21.99	297.060	295.140

1741861538	1.000000	20.15	29.40	293.300	302.550

1741861539	1.886503	27.85	24.14	301.000	297.290

1741861540	1.000000	22.20	26.45	295.350	299.600

1741861541	0.255959	29.55	21.30	302.700	294.450

1741861542	1.768820	27.63	21.72	300.780	294.870

1741861543	1.000000	24.93	20.71	298.080	293.860

1741861544	1.000000	29.98	21.38	303.130	294.530

1741861545	1.391071	24.39	25.80	297.540	298.950

1741861546	1.000000	29.14	22.00	302.290	295.150

1741861547	1.000000	25.21	24.24	298.360	297.390

1741861548	1.000000	26.03	28.73	299.180	301.880

1741861549	2.684195	28.76	21.22	301.910	294.370

1741861550	0.930781	21.88	28.03	295.030	301.180

1741861551	1.000000	24.55	25.83	297.700	298.980

1741861552	1.000000	27.33	24.42	300.480	297.570

1741861553	2.087798	23.89	29.84	297.040	302.990

1741861554	1.000000	21.98	25.63	295.130	298.780

1741861555	2.585545	24.10	26.69	297.250	299.840

1741861556	1.000000	27.52	24.48	300.670	297.630

1741861557	1.000000	21.12	27.60	294.270	300.750

1741861558	1.597709	25.80	29.89	298.950	303.040

1741861559	1.000000	23.62	21.29	296.770	294.440

1741861560	0.930854	28.98	29.66	302.130	302.810

1741861561	1.000000	20.60	25.52	293.750	298.670

1741861562	2.672603	26.90	24.16	300.050	297.310

1741861563	1.000000	20.73	20.22	293.880	293.370

1741861564	2.333255	28.16	25.54	301.310	298.690

1741861565	0.963294	23.36	28.25	296.510	301.400

1741861566	1.000000	25.14	20.25	298.290	293.400

1741861567	1.000000	27.86	20.25	301.010	293.400

1741861568	1.306439	21.44	20.87	294.590	294.020

1741861569	1.000000	24.04	22.62	297.190	295.770

Time	Flow, kg/s	DeltaP, Pa	P, Pa	Temp, K	Temp2, K

1741861767	1.576340	24.07	23.60	297.220	296.750

1741861768	1.711548	26.68	24.96	299.830	298.110

1741861769	2.426454	21.39	28.77	294.540	301.920

1741861770	1.383674	28.20	28.39	301.350	301.540

